Episode,Score,Epsilon,MaxTile
545,95.81,0.0518,64
546,163.86,0.0516,128
547,235.21,0.0513,128
548,206.62,0.051,128
549,309.84,0.0508,256
550,87.42,0.0505,64
551,148.48,0.0503,64
552,162.97,0.05,128
553,197.82,0.05,128
554,136.56,0.05,128
555,196.33,0.05,128
556,174.89,0.05,64
557,137.6,0.05,64
558,140.87,0.05,128
559,111.39,0.05,128
560,130.44,0.05,64
561,222.21,0.05,128
562,255.87,0.05,128
563,171.53,0.05,128
564,102.8,0.05,64
565,-57.76,0.05,64
566,87.72,0.05,64
567,159.73,0.05,128
568,152.92,0.05,64
569,113.0,0.05,32
570,202.84,0.05,128
571,295.82,0.05,256
572,64.88,0.05,64
573,129.39,0.05,64
574,79.86,0.05,128
575,191.3,0.05,128
576,82.19,0.05,128
577,229.06,0.05,256
578,226.83,0.05,128
579,-57.31,0.05,128
580,293.59,0.05,128
581,307.64,0.05,256
582,97.92,0.05,32
583,159.72,0.05,128
584,74.88,0.05,32
585,138.39,0.05,64
586,160.64,0.05,64
587,370.72,0.05,256
588,62.2,0.05,128
589,23.9,0.05,64
590,126.82,0.05,128
591,168.84,0.05,128
592,115.15,0.05,64
593,272.4,0.05,128
594,177.83,0.05,64
595,55.85,0.05,128
596,115.71,0.05,64
597,175.4,0.05,64
598,194.44,0.05,128
599,182.73,0.05,128
600,-118.0,0.05,128
601,130.56,0.05,64
602,162.14,0.05,128
603,197.2,0.05,64
604,161.98,0.05,64
605,254.8,0.05,128
606,18.66,0.05,128
607,51.7,0.05,128
608,202.75,0.05,128
609,117.34,0.05,32
610,166.95,0.05,64
611,141.62,0.05,128
612,215.27,0.05,128
613,132.93,0.05,128
614,161.04,0.05,64
615,302.2,0.05,256
616,188.78,0.05,64
617,95.41,0.05,128
618,40.1,0.05,16
619,115.54,0.05,64
620,51.04,0.05,32
621,297.13,0.05,128
622,137.72,0.05,128
623,118.18,0.05,128
624,113.2,0.05,32
625,85.66,0.05,128
626,140.81,0.05,64
627,147.37,0.05,64
628,74.43,0.05,128
629,185.57,0.05,64
630,15.7,0.05,64
631,156.55,0.05,64
632,184.03,0.05,64
633,174.7,0.05,128
634,155.89,0.05,64
635,139.68,0.05,64
636,210.28,0.05,128
637,111.1,0.05,256
638,77.57,0.05,128
639,-13.36,0.05,64
640,128.46,0.05,64
641,41.58,0.05,128
642,109.33,0.05,128
643,252.53,0.05,128
644,91.95,0.05,64
645,110.57,0.05,128
646,17.57,0.05,128
647,30.22,0.05,256
648,52.23,0.05,128
649,-66.54,0.05,128
650,109.06,0.05,64
651,-8.78,0.05,128
652,245.14,0.05,128
653,87.15,0.05,64
654,190.77,0.05,64
655,238.1,0.05,128
656,40.44,0.05,128
657,194.55,0.05,128
658,47.06,0.05,128
659,93.85,0.05,64
660,94.64,0.05,64
661,150.08,0.05,128
662,95.77,0.05,32
663,121.66,0.05,64
664,139.68,0.05,128
665,154.34,0.05,64
666,125.76,0.05,128
667,278.85,0.05,256
668,72.86,0.05,32
669,254.4,0.05,128
670,62.25,0.05,32
671,301.42,0.05,128
672,237.45,0.05,128
673,114.66,0.05,32
674,72.53,0.05,128
675,155.66,0.05,128
676,136.31,0.05,128
677,178.23,0.05,256
678,241.93,0.05,128
679,272.48,0.05,128
680,69.14,0.05,64
681,243.65,0.05,128
682,38.52,0.05,64
683,77.13,0.05,64
684,124.39,0.05,64
685,181.28,0.05,64
686,228.1,0.05,128
687,155.2,0.05,128
688,143.45,0.05,128
689,269.86,0.05,128
690,-30.03,0.05,64
691,186.2,0.05,64
692,109.73,0.05,64
693,93.18,0.05,64
694,108.57,0.05,128
695,185.04,0.05,128
696,227.99,0.05,128
697,235.81,0.05,128
698,248.45,0.05,128
699,-61.25,0.05,128
700,-109.4,0.05,128
701,80.03,0.05,64
702,99.97,0.05,32
703,145.34,0.05,128
704,-28.9,0.05,128
705,209.37,0.05,128
706,87.72,0.05,64
707,178.51,0.05,64
708,125.65,0.05,64
709,-69.72,0.05,128
710,180.2,0.05,64
711,94.83,0.05,64
712,91.61,0.05,64
713,23.46,0.05,64
714,97.89,0.05,128
715,51.91,0.05,64
716,232.21,0.05,128
717,213.1,0.05,128
718,-13.89,0.05,128
719,65.46,0.05,128
720,234.17,0.05,128
721,116.72,0.05,64
722,81.22,0.05,32
723,227.28,0.05,128
724,168.3,0.05,128
725,77.7,0.05,64
726,253.01,0.05,128
727,224.26,0.05,128
728,216.09,0.05,128
729,247.36,0.05,128
730,272.18,0.05,256
731,419.09,0.05,256
732,191.53,0.05,64
733,214.85,0.05,128
734,226.21,0.05,128
735,142.91,0.05,128
736,-302.12,0.05,128
737,140.12,0.05,64
738,249.79,0.05,256
739,164.07,0.05,64
740,108.78,0.05,64
741,365.19,0.05,256
742,146.67,0.05,128
743,111.27,0.05,64
744,301.62,0.05,128
745,100.79,0.05,128
746,271.18,0.05,128
747,129.28,0.05,64
748,180.74,0.05,64
749,110.08,0.05,64
